Province_State,date,Lat,Long_,Confirmed,Deaths,STATE,COUNTY,POPESTIMATE2019,covid symptoms,do i have covid,covid test,covid near me,covid vaccines,covid travel,travel restrictions,covid depression,covid health insurance,test sites,bars near me,Confirmed_Percent,Deaths_Percent,Confirmed_Percent_Smooth,Deaths_Percent_Smooth,Confirmed_Smooth,Deaths_Smooth
Colorado,2020-05-26 00:00:01,38.90239628983334,-105.51943618666665,5.14636272990202,0.33034085090587284,8.0,61.95,95860.58333333333,42,0,27,13,0,8,10,11,11,22,22,42.99516908212561,1799.9999999999998,1.5064360438252276,17.282003710575164,5.295388677679106,0.27321423759132346
Colorado,2020-05-27 00:00:01,38.90239628983334,-105.51943618666665,3.5120448359466487,0.6954544229597324,8.0,61.95,95860.58333333333,29,50,11,17,0,8,19,0,0,0,12,-31.756756756756754,110.52631578947371,6.374041186200046,236.32962275819415,5.302839975067959,0.23844151644333683
Colorado,2020-05-28 00:00:01,38.90239628983334,-105.51943618666665,6.137385282619638,0.5042044566458059,8.0,61.95,95860.58333333333,26,0,13,11,0,4,9,0,0,0,12,74.75247524752473,-27.500000000000007,0.8622275685843798,248.2229925463008,5.027141971680352,0.23347398485076726
Colorado,2020-05-29 00:00:01,38.90239628983334,-105.51943618666665,8.536703041830716,0.26079540860989964,8.0,61.95,95860.58333333333,26,0,16,7,0,14,18,0,0,12,24,39.093484419263476,-48.275862068965516,8.939600801115295,254.83863880480422,4.98491795314351,0.2781817691838929
Colorado,2020-05-30 00:00:01,38.90239628983334,-105.51943618666665,8.449771238960748,0.12170452401795316,8.0,61.95,95860.58333333333,29,0,41,11,0,11,18,0,11,11,11,-1.0183299389002172,-53.33333333333333,17.49735726255448,244.04598318456237,5.476703580807893,0.2806655349801777
Colorado,2020-05-31 00:00:01,38.90239628983334,-105.51943618666665,4.868180960718127,0.03477272114798662,8.0,61.95,95860.58333333333,22,0,24,14,3,5,6,10,0,10,21,-42.38683127572016,-71.42857142857143,9.940862541882726,246.63101719816783,5.578537978455567,0.28811683236903196
Colorado,2020-06-01 00:00:01,38.90239628983334,-105.51943618666665,3.459885754224669,0.22602268746191304,8.0,61.95,95860.58333333333,19,0,22,6,0,3,5,0,0,10,21,-28.92857142857143,550.0,11.397639454340037,232.8555069940862,5.749917818399217,0.2806655349801777
Colorado,2020-06-02 00:00:01,38.90239628983334,-105.51943618666665,3.6685220811125885,0.278181769183893,8.0,61.95,95860.58333333333,26,0,16,15,0,8,10,0,0,0,25,6.030150753768843,23.076923076923084,7.5358056212807485,322.85550699408617,5.730047692028939,0.31047072453559477
Colorado,2020-06-03 00:00:01,38.90239628983334,-105.51943618666665,4.729090076126179,0.3477272114798661,8.0,61.95,95860.58333333333,30,0,21,11,0,5,11,0,0,0,47,28.909952606635045,24.999999999999964,2.255088717229782,69.00935314793236,5.518927599344734,0.3030194271467405
Colorado,2020-06-04 00:00:01,38.90239628983334,-105.51943618666665,5.2159081721979925,0.31295449033187955,8.0,61.95,95860.58333333333,17,0,9,9,4,4,9,12,0,12,47,10.294117647058835,-9.99999999999999,10.921761483428611,56.791308035150394,5.692791205084666,0.2533441112210454
