date,do i have covid,isPartial,State
2020-07-07,42,False,AZ
2020-07-08,29,False,AZ
2020-07-09,29,False,AZ
2020-07-10,44,False,AZ
2020-07-11,31,False,AZ
2020-07-12,0,False,AZ
2020-07-13,56,False,AZ
2020-07-14,28,False,AZ
2020-07-15,29,False,AZ
2020-07-16,44,False,AZ
2020-07-17,30,False,AZ
2020-07-18,32,False,AZ
2020-07-19,32,False,AZ
2020-07-20,29,False,AZ
2020-07-21,29,False,AZ
2020-07-22,29,False,AZ
2020-07-23,0,False,AZ
2020-07-24,29,False,AZ
2020-07-25,32,False,AZ
2020-07-26,0,False,AZ
2020-07-27,0,False,AZ
2020-07-28,0,False,AZ
2020-07-29,56,False,AZ
2020-07-30,57,False,AZ
2020-07-31,29,False,AZ
2020-08-01,46,False,AZ
2020-08-02,32,False,AZ
2020-08-03,0,False,AZ
2020-08-04,0,False,AZ
2020-08-05,0,False,AZ
2020-08-06,53,False,AZ
2020-08-07,0,False,AZ
2020-08-08,0,False,AZ
2020-08-09,32,False,AZ
2020-08-10,26,False,AZ
2020-08-11,26,False,AZ
2020-08-12,26,False,AZ
2020-08-13,51,False,AZ
2020-08-14,27,False,AZ
2020-08-15,31,False,AZ
2020-08-16,0,False,AZ
2020-08-17,39,False,AZ
2020-08-18,0,False,AZ
2020-08-19,26,False,AZ
2020-08-20,0,False,AZ
2020-08-21,0,False,AZ
2020-08-22,32,False,AZ
2020-08-23,32,False,AZ
2020-08-24,0,False,AZ
2020-08-25,25,False,AZ
2020-08-26,0,False,AZ
2020-08-27,25,False,AZ
2020-08-28,27,False,AZ
2020-08-29,0,False,AZ
2020-08-30,0,False,AZ
2020-08-31,51,False,AZ
2020-09-01,26,False,AZ
2020-09-02,26,False,AZ
2020-09-03,0,False,AZ
2020-09-04,0,False,AZ
2020-09-05,62,False,AZ
2020-09-06,0,False,AZ
2020-09-07,31,False,AZ
2020-09-08,0,False,AZ
2020-09-09,27,False,AZ
2020-09-10,26,False,AZ
2020-09-11,54,False,AZ
2020-09-12,0,False,AZ
2020-09-13,0,False,AZ
2020-09-14,0,False,AZ
2020-09-15,26,False,AZ
2020-09-16,0,False,AZ
2020-09-17,0,False,AZ
2020-09-18,0,False,AZ
2020-09-19,47,False,AZ
2020-09-20,0,False,AZ
2020-09-21,26,False,AZ
2020-09-22,40,False,AZ
2020-09-23,27,False,AZ
2020-09-24,0,False,AZ
2020-09-25,0,False,AZ
2020-09-26,0,False,AZ
2020-09-27,0,False,AZ
2020-09-28,29,False,AZ
2020-09-29,29,False,AZ
