,date,date,State,State,covid symptoms,do i have covid
269,2020-05-30,2020-05-30,AZ,AZ,31,0
270,2020-05-31,2020-05-31,AZ,AZ,17,58
271,2020-06-01,2020-06-01,AZ,AZ,22,26
272,2020-06-02,2020-06-02,AZ,AZ,24,0
273,2020-06-03,2020-06-03,AZ,AZ,21,0
274,2020-06-04,2020-06-04,AZ,AZ,23,100
275,2020-06-05,2020-06-05,AZ,AZ,37,0
276,2020-06-06,2020-06-06,AZ,AZ,28,0
277,2020-06-07,2020-06-07,AZ,AZ,34,0
278,2020-06-08,2020-06-08,AZ,AZ,35,0
279,2020-06-09,2020-06-09,AZ,AZ,29,0
280,2020-06-10,2020-06-10,AZ,AZ,40,27
281,2020-06-11,2020-06-11,AZ,AZ,39,40
282,2020-06-12,2020-06-12,AZ,AZ,40,27
283,2020-06-13,2020-06-13,AZ,AZ,31,29
284,2020-06-14,2020-06-14,AZ,AZ,50,30
285,2020-06-15,2020-06-15,AZ,AZ,51,27
286,2020-06-16,2020-06-16,AZ,AZ,59,0
287,2020-06-17,2020-06-17,AZ,AZ,81,0
288,2020-06-18,2020-06-18,AZ,AZ,76,0
289,2020-06-19,2020-06-19,AZ,AZ,64,54
290,2020-06-20,2020-06-20,AZ,AZ,61,74
291,2020-06-21,2020-06-21,AZ,AZ,53,31
292,2020-06-22,2020-06-22,AZ,AZ,67,27
293,2020-06-23,2020-06-23,AZ,AZ,79,41
294,2020-06-24,2020-06-24,AZ,AZ,75,55
295,2020-06-25,2020-06-25,AZ,AZ,78,55
296,2020-06-26,2020-06-26,AZ,AZ,84,70
297,2020-06-27,2020-06-27,AZ,AZ,79,30
298,2020-06-28,2020-06-28,AZ,AZ,77,30
299,2020-06-29,2020-06-29,AZ,AZ,100,42
300,2020-06-30,2020-06-30,AZ,AZ,84,0
301,2020-07-01,2020-07-01,AZ,AZ,91,42
302,2020-07-02,2020-07-02,AZ,AZ,79,28
303,2020-07-03,2020-07-03,AZ,AZ,76,29
304,2020-07-04,2020-07-04,AZ,AZ,72,31
305,2020-07-05,2020-07-05,AZ,AZ,68,49
306,2020-07-06,2020-07-06,AZ,AZ,67,0
307,2020-07-07,2020-07-07,AZ,AZ,91,42
308,2020-07-08,2020-07-08,AZ,AZ,82,29
309,2020-07-09,2020-07-09,AZ,AZ,79,29
310,2020-07-10,2020-07-10,AZ,AZ,68,44
311,2020-07-11,2020-07-11,AZ,AZ,49,31
312,2020-07-12,2020-07-12,AZ,AZ,56,0
313,2020-07-13,2020-07-13,AZ,AZ,72,56
314,2020-07-14,2020-07-14,AZ,AZ,46,28
315,2020-07-15,2020-07-15,AZ,AZ,51,29
316,2020-07-16,2020-07-16,AZ,AZ,51,44
317,2020-07-17,2020-07-17,AZ,AZ,53,30
318,2020-07-18,2020-07-18,AZ,AZ,37,32
319,2020-07-19,2020-07-19,AZ,AZ,54,32
320,2020-07-20,2020-07-20,AZ,AZ,40,29
321,2020-07-21,2020-07-21,AZ,AZ,34,29
322,2020-07-22,2020-07-22,AZ,AZ,46,29
323,2020-07-23,2020-07-23,AZ,AZ,31,0
324,2020-07-24,2020-07-24,AZ,AZ,30,29
325,2020-07-25,2020-07-25,AZ,AZ,37,32
326,2020-07-26,2020-07-26,AZ,AZ,37,0
327,2020-07-27,2020-07-27,AZ,AZ,41,0
328,2020-07-28,2020-07-28,AZ,AZ,36,0
329,2020-07-29,2020-07-29,AZ,AZ,31,56
330,2020-07-30,2020-07-30,AZ,AZ,41,57
331,2020-07-31,2020-07-31,AZ,AZ,29,29
332,2020-08-01,2020-08-01,AZ,AZ,24,46
333,2020-08-02,2020-08-02,AZ,AZ,25,32
334,2020-08-03,2020-08-03,AZ,AZ,23,0
335,2020-08-04,2020-08-04,AZ,AZ,33,0
336,2020-08-05,2020-08-05,AZ,AZ,24,0
337,2020-08-06,2020-08-06,AZ,AZ,22,53
338,2020-08-07,2020-08-07,AZ,AZ,34,0
339,2020-08-08,2020-08-08,AZ,AZ,27,0
340,2020-08-09,2020-08-09,AZ,AZ,23,32
341,2020-08-10,2020-08-10,AZ,AZ,30,26
342,2020-08-11,2020-08-11,AZ,AZ,20,26
343,2020-08-12,2020-08-12,AZ,AZ,32,26
344,2020-08-13,2020-08-13,AZ,AZ,18,51
345,2020-08-14,2020-08-14,AZ,AZ,24,27
346,2020-08-15,2020-08-15,AZ,AZ,17,31
347,2020-08-16,2020-08-16,AZ,AZ,19,0
348,2020-08-17,2020-08-17,AZ,AZ,28,39
349,2020-08-18,2020-08-18,AZ,AZ,12,0
350,2020-08-19,2020-08-19,AZ,AZ,21,26
351,2020-08-20,2020-08-20,AZ,AZ,14,0
352,2020-08-21,2020-08-21,AZ,AZ,16,0
353,2020-08-22,2020-08-22,AZ,AZ,17,32
354,2020-08-23,2020-08-23,AZ,AZ,18,32
355,2020-08-24,2020-08-24,AZ,AZ,18,0
356,2020-08-25,2020-08-25,AZ,AZ,21,25
357,2020-08-26,2020-08-26,AZ,AZ,18,0
358,2020-08-27,2020-08-27,AZ,AZ,17,25
359,2020-08-28,2020-08-28,AZ,AZ,20,27
360,2020-08-29,2020-08-29,AZ,AZ,20,0
361,2020-08-30,2020-08-30,AZ,AZ,14,0
362,2020-08-31,2020-08-31,AZ,AZ,21,51
363,2020-09-01,2020-09-01,AZ,AZ,20,26
364,2020-09-02,2020-09-02,AZ,AZ,23,26
365,2020-09-03,2020-09-03,AZ,AZ,20,0
366,2020-09-04,2020-09-04,AZ,AZ,17,0
367,2020-09-05,2020-09-05,AZ,AZ,17,62
368,2020-09-06,2020-09-06,AZ,AZ,22,0
369,2020-09-07,2020-09-07,AZ,AZ,24,31
370,2020-09-08,2020-09-08,AZ,AZ,12,0
371,2020-09-09,2020-09-09,AZ,AZ,22,27
372,2020-09-10,2020-09-10,AZ,AZ,21,26
373,2020-09-11,2020-09-11,AZ,AZ,23,54
374,2020-09-12,2020-09-12,AZ,AZ,30,0
375,2020-09-13,2020-09-13,AZ,AZ,20,0
376,2020-09-14,2020-09-14,AZ,AZ,21,0
377,2020-09-15,2020-09-15,AZ,AZ,20,26
378,2020-09-16,2020-09-16,AZ,AZ,20,0
379,2020-09-17,2020-09-17,AZ,AZ,24,0
380,2020-09-18,2020-09-18,AZ,AZ,26,0
381,2020-09-19,2020-09-19,AZ,AZ,16,47
382,2020-09-20,2020-09-20,AZ,AZ,20,0
383,2020-09-21,2020-09-21,AZ,AZ,22,26
384,2020-09-22,2020-09-22,AZ,AZ,24,40
385,2020-09-23,2020-09-23,AZ,AZ,22,27
386,2020-09-24,2020-09-24,AZ,AZ,22,0
387,2020-09-25,2020-09-25,AZ,AZ,23,0
388,2020-09-26,2020-09-26,AZ,AZ,28,0
389,2020-09-27,2020-09-27,AZ,AZ,23,0
390,2020-09-28,2020-09-28,AZ,AZ,23,29
391,2020-09-29,2020-09-29,AZ,AZ,16,29
392,2020-09-30,2020-09-30,AZ,AZ,20,29
393,2020-10-01,2020-10-01,AZ,AZ,15,29
